airport,country,state,city,icao,iata,elevation_ft,latitude,longitude
Edmonton International Airport,CA,AB,Edmonton,CYEG,YEG,2373,53.3097,-113.580002
Halifax / Stanfield International Airport,CA,NS,Halifax,CYHZ,YHZ,477,44.8807983398,-63.5085983276
Ottawa Macdonald-Cartier International Airport,CA,ON,Ottawa,CYOW,YOW,374,45.322498,-75.669197
Quebec Jean Lesage International Airport,CA,QC,Quebec,CYQB,YQB,244,46.7911,-71.393303
Montreal / Pierre Elliott Trudeau International Airport,CA,QC,Montréal,CYUL,YUL,118,45.467837,-73.742294
Vancouver International Airport,CA,BC,Vancouver,CYVR,YVR,14,49.193901062,-123.183998108
Winnipeg / James Armstrong Richardson International Airport,CA,MB,Winnipeg,CYWG,YWG,783,49.909999847399995,-97.2398986816
Calgary International Airport,CA,AB,Calgary,CYYC,YYC,3557,51.118822,-114.009933
St. John's International Airport,CA,NL,St. John's,CYYT,YYT,461,47.618599,-52.7519
Toronto Lester B. Pearson International Airport,CA,ON,Toronto,CYYZ,YYZ,569,43.6772,-79.6306
Berlin Brandenburg Airport,DE,BR,Berlin,EDDB,BER,157,52.362247,13.500672
Frankfurt Airport,DE,HE,Frankfurt am Main,EDDF,FRA,364,50.030241,8.561096
Hamburg Helmut Schmidt Airport,DE,HH,Hamburg,EDDH,HAM,53,53.630402,9.98823
Cologne Bonn Airport,DE,NW,Köln (Cologne),EDDK,CGN,302,50.865898,7.14274
Düsseldorf Airport,DE,NW,Düsseldorf,EDDL,DUS,147,51.289501,6.76678
Munich Airport,DE,BY,Munich,EDDM,MUC,1487,48.353802,11.7861
Nuremberg Airport,DE,BY,Nuremberg,EDDN,NUE,1046,49.498699,11.078056
Leipzig/Halle Airport,DE,SN,Schkeuditz,EDDP,LEJ,465,51.420657,12.232705
Stuttgart Airport,DE,BW,Stuttgart,EDDS,STR,1276,48.689899,9.22196
Hannover Airport,DE,NI,Hannover,EDDV,HAJ,183,52.461102,9.68508
Albuquerque International Sunport,US,NM,Albuquerque,KABQ,ABQ,5355,35.039976,-106.608925
Joint Base Andrews,US,MD,Camp Springs,KADW,ADW,280,38.810799,-76.866997
Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,KATL,ATL,1026,33.6367,-84.428101
Austin Bergstrom International Airport,US,TX,Austin,KAUS,AUS,542,30.197535,-97.662015
Bradley International Airport,US,CT,Hartford,KBDL,BDL,173,41.93851,-72.688066
Nashville International Airport,US,TN,Nashville,KBNA,BNA,599,36.1245,-86.6782
Logan International Airport,US,MA,Boston,KBOS,BOS,20,42.36197,-71.0079
Buffalo Niagara International Airport,US,NY,Buffalo,KBUF,BUF,728,42.940498,-78.732201
Baltimore/Washington International Thurgood Marshall Airport,US,MD,Baltimore,KBWI,BWI,146,39.1754,-76.668297
Cleveland Hopkins International Airport,US,OH,Cleveland,KCLE,CLE,791,41.411701,-81.8498
Charlotte Douglas International Airport,US,NC,Charlotte,KCLT,CLT,748,35.2140007019043,-80.94309997558594
John Glenn Columbus International Airport,US,OH,Columbus,KCMH,CMH,815,39.998001,-82.891899
